vehicle_id,zone_id,t0_image,t1_image,move_dist,diag0,delta_min,move_ratio,stop
644,,blurred_0016_top_20250709_t0,blurred_0016_top_20250709_t1,0.0,82.62,6,0.0,Yes
645,,blurred_0016_top_20250709_t0,blurred_0016_top_20250709_t1,0.0,170.426,6,0.0,Yes
646,,blurred_0016_top_20250711_t0,blurred_0016_top_20250711_t1,0.0,293.9,7,0.0,Yes
647,,blurred_0016_top_20250711_t0,blurred_0016_top_20250711_t1,0.0,328.907,7,0.0,Yes
648,,blurred_0017_top_20250707_t0,blurred_0017_top_20250707_t1,102.011,394.406,7,0.259,No
649,,blurred_0017_top_20250711_t0,blurred_0017_top_20250711_t1,0.0,222.407,9,0.0,Yes
650,,blurred_0018_top_20250703_t0,blurred_0018_top_20250703_t1,156.43,161.4,9,0.969,No
651,,blurred_0018_top_20250703_t0,blurred_0018_top_20250703_t1,45.105,113.864,9,0.396,No
652,,blurred_0018_top_20250703_t0,blurred_0018_top_20250703_t1,141.995,163.878,9,0.866,No
653,,blurred_0018_top_20250703_t0,blurred_0018_top_20250703_t1,78.857,166.964,9,0.472,No
654,,blurred_0018_top_20250703_t0,blurred_0018_top_20250703_t1,85.828,110.345,9,0.778,No
655,,blurred_0018_top_20250703_t0,blurred_0018_top_20250703_t1,4.272,70.178,9,0.061,Yes
656,,blurred_0019_top_20250702_t0,blurred_0019_top_20250702_t1,129.596,144.139,6,0.899,No
657,,blurred_0019_top_20250708_t0,blurred_0019_top_20250708_t1,0.0,191.638,8,0.0,Yes
658,,blurred_0019_top_20250708_t0,blurred_0019_top_20250708_t1,0.0,172.977,8,0.0,Yes
659,,blurred_0020_top_20250703_t0,blurred_0020_top_20250703_t1,64.251,119.971,7,0.536,No
660,,blurred_0020_top_20250703_t0,blurred_0020_top_20250703_t1,42.72,126.194,7,0.339,No
661,,blurred_0020_top_20250703_t0,blurred_0020_top_20250703_t1,113.741,130.384,7,0.872,No
662,,blurred_0020_top_20250703_t0,blurred_0020_top_20250703_t1,113.741,129.097,7,0.881,No
663,,blurred_0020_top_20250703_t0,blurred_0020_top_20250703_t1,297.188,130.292,7,2.281,No
664,,blurred_0020_top_20250703_t0,blurred_0020_top_20250703_t1,260.85,123.649,7,2.11,No
665,,blurred_0020_top_20250703_t0,blurred_0020_top_20250703_t1,327.214,129.356,7,2.53,No
666,,blurred_0020_top_20250703_t0,blurred_0020_top_20250703_t1,557.035,106.626,7,5.224,No
667,,blurred_0020_top_20250703_t0,blurred_0020_top_20250703_t1,510.265,98.478,7,5.181,No
668,,blurred_0020_top_20250703_t0,blurred_0020_top_20250703_t1,365.15,133.135,7,2.743,No
669,,blurred_0020_top_20250703_t0,blurred_0020_top_20250703_t1,581.46,129.027,7,4.506,No
670,,blurred_0020_top_20250703_t0,blurred_0020_top_20250703_t1,272.885,103.233,7,2.643,No
672,,blurred_0020_top_20250704_t0,blurred_0020_top_20250704_t1,11.543,364.66,9,0.032,Yes
673,,blurred_0020_top_20250704_t0,blurred_0020_top_20250704_t1,100.927,150.073,9,0.673,No
674,,blurred_0020_top_20250709_t0,blurred_0020_top_20250709_t1,138.508,78.262,7,1.77,No
675,,blurred_0020_top_20250711_t0,blurred_0020_top_20250711_t1,0.0,178.508,7,0.0,Yes
676,,blurred_0020_top_20250711_t0,blurred_0020_top_20250711_t1,0.0,163.954,7,0.0,Yes
677,,blurred_0021_top_20250702_t0,blurred_0021_top_20250702_t1,32.442,85.802,8,0.378,No
678,,blurred_0021_top_20250702_t0,blurred_0021_top_20250702_t1,578.331,59.135,8,9.78,No
679,,blurred_0021_top_20250711_t0,blurred_0021_top_20250711_t1,0.0,428.957,8,0.0,Yes
680,,blurred_0021_top_20250711_t0,blurred_0021_top_20250711_t1,0.0,414.693,8,0.0,Yes
681,,blurred_0023_top_20250704_t0,blurred_0023_top_20250704_t1,76.976,413.189,7,0.186,No
682,,blurred_0023_top_20250704_t0,blurred_0023_top_20250704_t1,353.319,80.994,7,4.362,No
683,,blurred_0023_top_20250707_t0,blurred_0023_top_20250707_t1,88.388,396.168,8,0.223,No
684,,blurred_0023_top_20250707_t0,blurred_0023_top_20250707_t1,64.275,390.0,8,0.165,No
685,,blurred_0023_top_20250707_t0,blurred_0023_top_20250707_t1,95.016,392.185,8,0.242,No
686,,blurred_0023_top_20250709_t0,blurred_0023_top_20250709_t1,101.494,342.428,9,0.296,No
687,,blurred_0023_top_20250709_t0,blurred_0023_top_20250709_t1,198.849,316.834,9,0.628,No
688,,blurred_0023_top_20250709_t0,blurred_0023_top_20250709_t1,225.125,190.683,9,1.181,No
691,,blurred_0023_top_20250711_t0,blurred_0023_top_20250711_t1,0.0,128.445,6,0.0,Yes
692,,blurred_0023_top_20250711_t0,blurred_0023_top_20250711_t1,0.0,168.241,6,0.0,Yes
693,,blurred_0023_top_20250711_t0,blurred_0023_top_20250711_t1,0.0,181.43,6,0.0,Yes
694,,blurred_0023_top_20250711_t0,blurred_0023_top_20250711_t1,0.0,173.819,6,0.0,Yes
695,,blurred_0023_top_20250711_t0,blurred_0023_top_20250711_t1,0.0,155.348,6,0.0,Yes
696,,blurred_0023_top_20250711_t0,blurred_0023_top_20250711_t1,0.0,122.25,6,0.0,Yes
697,,blurred_0023_top_20250711_t0,blurred_0023_top_20250711_t1,0.0,110.463,6,0.0,Yes
698,,blurred_0023_top_20250711_t0,blurred_0023_top_20250711_t1,0.0,171.898,6,0.0,Yes
699,,blurred_0023_top_20250711_t0,blurred_0023_top_20250711_t1,0.0,118.533,6,0.0,Yes
700,,blurred_0023_top_20250711_t0,blurred_0023_top_20250711_t1,0.0,117.745,6,0.0,Yes
701,,blurred_0023_top_20250711_t0,blurred_0023_top_20250711_t1,0.0,193.598,6,0.0,Yes
702,,blurred_0023_top_20250711_t0,blurred_0023_top_20250711_t1,0.0,222.497,6,0.0,Yes
703,,blurred_0023_top_20250711_t0,blurred_0023_top_20250711_t1,0.0,170.578,6,0.0,Yes
704,,blurred_0023_top_20250711_t0,blurred_0023_top_20250711_t1,0.0,167.156,6,0.0,Yes
705,,blurred_0024_top_20250707_t0,blurred_0024_top_20250707_t1,181.276,287.141,9,0.631,No
706,,blurred_0024_top_20250711_t0,blurred_0024_top_20250711_t1,0.0,148.408,9,0.0,Yes
707,,blurred_0024_top_20250711_t0,blurred_0024_top_20250711_t1,0.0,182.923,9,0.0,Yes
708,,blurred_0024_top_20250711_t0,blurred_0024_top_20250711_t1,0.0,203.337,9,0.0,Yes
709,,blurred_0024_top_20250711_t0,blurred_0024_top_20250711_t1,0.0,136.894,9,0.0,Yes
710,,blurred_0024_top_20250711_t0,blurred_0024_top_20250711_t1,0.0,196.087,9,0.0,Yes
711,,blurred_0024_top_20250711_t0,blurred_0024_top_20250711_t1,0.0,194.201,9,0.0,Yes
712,,blurred_0024_top_20250711_t0,blurred_0024_top_20250711_t1,0.0,175.824,9,0.0,Yes
713,,blurred_0024_top_20250711_t0,blurred_0024_top_20250711_t1,0.0,168.077,9,0.0,Yes
714,,blurred_0024_top_20250711_t0,blurred_0024_top_20250711_t1,0.0,153.844,9,0.0,Yes
715,,blurred_0024_top_20250711_t0,blurred_0024_top_20250711_t1,0.0,159.211,9,0.0,Yes
716,,blurred_0024_top_20250711_t0,blurred_0024_top_20250711_t1,0.0,194.997,9,0.0,Yes
717,,blurred_0024_top_20250711_t0,blurred_0024_top_20250711_t1,0.0,174.977,9,0.0,Yes
718,,blurred_0024_top_20250711_t0,blurred_0024_top_20250711_t1,0.0,214.672,9,0.0,Yes
719,,blurred_0025_top_20250704_t0,blurred_0025_top_20250704_t1,190.109,318.511,7,0.597,No
720,,blurred_0025_top_20250704_t0,blurred_0025_top_20250704_t1,185.017,273.0,7,0.678,No
721,,blurred_0026_top_20250707_t0,blurred_0026_top_20250707_t1,87.957,273.591,7,0.321,No
722,,blurred_0026_top_20250707_t0,blurred_0026_top_20250707_t1,63.932,251.372,7,0.254,No
723,,blurred_0027_top_20250707_t0,blurred_0027_top_20250707_t1,166.29,358.621,6,0.464,No
724,,blurred_0027_top_20250709_t0,blurred_0027_top_20250709_t1,0.0,89.376,8,0.0,Yes
725,,blurred_0028_top_20250703_t0,blurred_0028_top_20250703_t1,101.0,430.465,9,0.235,No
726,,blurred_0028_top_20250704_t0,blurred_0028_top_20250704_t1,0.0,164.56,9,0.0,Yes
727,,blurred_0029_top_20250704_t0,blurred_0029_top_20250704_t1,3.536,102.728,6,0.034,Yes
728,,blurred_0029_top_20250704_t0,blurred_0029_top_20250704_t1,4.031,55.227,6,0.073,Yes
729,,blurred_0029_top_20250704_t0,blurred_0029_top_20250704_t1,5.5,94.895,6,0.058,Yes
730,,blurred_0029_top_20250704_t0,blurred_0029_top_20250704_t1,3.041,53.009,6,0.057,Yes
731,,blurred_0029_top_20250704_t0,blurred_0029_top_20250704_t1,5.025,63.506,6,0.079,Yes
732,,blurred_0029_top_20250704_t0,blurred_0029_top_20250704_t1,5.701,55.57,6,0.103,Yes
733,,blurred_0029_top_20250704_t0,blurred_0029_top_20250704_t1,5.0,57.689,6,0.087,Yes
734,,blurred_0029_top_20250704_t0,blurred_0029_top_20250704_t1,3.162,57.689,6,0.055,Yes
735,,blurred_0029_top_20250704_t0,blurred_0029_top_20250704_t1,6.0,100.499,6,0.06,Yes
736,,blurred_0029_top_20250704_t0,blurred_0029_top_20250704_t1,5.025,54.083,6,0.093,Yes
737,,blurred_0029_top_20250704_t0,blurred_0029_top_20250704_t1,4.528,52.202,6,0.087,Yes
738,,blurred_0029_top_20250704_t0,blurred_0029_top_20250704_t1,6.0,60.465,6,0.099,Yes
739,,blurred_0029_top_20250707_t0,blurred_0029_top_20250707_t1,4.743,63.891,7,0.074,Yes
740,,blurred_0029_top_20250707_t0,blurred_0029_top_20250707_t1,4.5,201.308,7,0.022,Yes
741,,blurred_0029_top_20250707_t0,blurred_0029_top_20250707_t1,4.528,180.936,7,0.025,Yes
742,,blurred_0029_top_20250707_t0,blurred_0029_top_20250707_t1,5.59,179.536,7,0.031,Yes
743,,blurred_0029_top_20250707_t0,blurred_0029_top_20250707_t1,4.123,209.571,7,0.02,Yes
744,,blurred_0029_top_20250707_t0,blurred_0029_top_20250707_t1,5.831,71.218,7,0.082,Yes
745,,blurred_0029_top_20250709_t0,blurred_0029_top_20250709_t1,1.5,344.53,10,0.004,Yes
746,,blurred_0029_top_20250709_t0,blurred_0029_top_20250709_t1,2.062,367.491,10,0.006,Yes
747,,blurred_0029_top_20250709_t0,blurred_0029_top_20250709_t1,5.852,358.649,10,0.016,Yes
748,,blurred_0029_top_20250709_t0,blurred_0029_top_20250709_t1,4.301,372.667,10,0.012,Yes
749,,blurred_0031_top_20250707_t0,blurred_0031_top_20250707_t1,33.682,179.494,6,0.188,No
750,,blurred_0031_top_20250707_t0,blurred_0031_top_20250707_t1,36.211,380.055,6,0.095,Yes
752,,blurred_0033_top_20250707_t0,blurred_0033_top_20250707_t1,8.732,177.792,6,0.049,Yes
753,,blurred_0033_top_20250707_t0,blurred_0033_top_20250707_t1,71.197,398.758,6,0.179,No
754,,blurred_0033_top_20250707_t0,blurred_0033_top_20250707_t1,29.967,150.881,6,0.199,No
755,,blurred_0034_top_20250704_t0,blurred_0034_top_20250704_t1,0.0,164.469,7,0.0,Yes
756,,blurred_0034_top_20250704_t0,blurred_0034_top_20250704_t1,0.0,136.059,7,0.0,Yes
757,,blurred_0038_top_20250704_t0,blurred_0038_top_20250704_t1,22.091,87.207,8,0.253,No
758,,blurred_0038_top_20250704_t0,blurred_0038_top_20250704_t1,45.894,90.874,8,0.505,No
759,,blurred_0043_top_20250704_t0,blurred_0043_top_20250704_t1,0.0,148.519,9,0.0,Yes
760,,blurred_0043_top_20250704_t0,blurred_0043_top_20250704_t1,0.0,153.075,9,0.0,Yes
761,,blurred_0043_top_20250704_t0,blurred_0043_top_20250704_t1,0.0,110.476,9,0.0,Yes
762,,blurred_0043_top_20250704_t0,blurred_0043_top_20250704_t1,0.0,145.121,9,0.0,Yes
763,,blurred_0043_top_20250704_t0,blurred_0043_top_20250704_t1,0.0,155.206,9,0.0,Yes
764,,blurred_0043_top_20250704_t0,blurred_0043_top_20250704_t1,0.0,160.125,9,0.0,Yes
765,,blurred_0043_top_20250704_t0,blurred_0043_top_20250704_t1,0.0,149.723,9,0.0,Yes
766,,blurred_0043_top_20250704_t0,blurred_0043_top_20250704_t1,0.0,152.315,9,0.0,Yes
767,,blurred_0043_top_20250704_t0,blurred_0043_top_20250704_t1,0.0,60.216,9,0.0,Yes
768,,blurred_0048_top_20250704_t0,blurred_0048_top_20250704_t1,0.0,47.413,9,0.0,Yes
769,,blurred_0049_top_20250704_t0,blurred_0049_top_20250704_t1,0.0,115.378,6,0.0,Yes
770,,blurred_0049_top_20250704_t0,blurred_0049_top_20250704_t1,0.0,135.152,6,0.0,Yes
771,,blurred_0049_top_20250704_t0,blurred_0049_top_20250704_t1,0.0,118.461,6,0.0,Yes
772,,blurred_0049_top_20250704_t0,blurred_0049_top_20250704_t1,0.0,139.818,6,0.0,Yes
773,,blurred_0049_top_20250704_t0,blurred_0049_top_20250704_t1,0.0,100.568,6,0.0,Yes
774,,blurred_0049_top_20250704_t0,blurred_0049_top_20250704_t1,0.0,123.665,6,0.0,Yes
775,,blurred_0049_top_20250704_t0,blurred_0049_top_20250704_t1,0.0,134.239,6,0.0,Yes
776,,blurred_0049_top_20250704_t0,blurred_0049_top_20250704_t1,0.0,89.202,6,0.0,Yes
777,,blurred_0049_top_20250704_t0,blurred_0049_top_20250704_t1,0.0,149.402,6,0.0,Yes
778,,blurred_0049_top_20250704_t0,blurred_0049_top_20250704_t1,0.0,151.832,6,0.0,Yes
779,,blurred_0049_top_20250704_t0,blurred_0049_top_20250704_t1,0.0,146.84,6,0.0,Yes
780,,blurred_0049_top_20250704_t0,blurred_0049_top_20250704_t1,0.0,87.207,6,0.0,Yes
781,,blurred_0049_top_20250704_t0,blurred_0049_top_20250704_t1,0.0,125.603,6,0.0,Yes
782,,blurred_0049_top_20250704_t0,blurred_0049_top_20250704_t1,0.0,148.223,6,0.0,Yes
783,,blurred_0049_top_20250704_t0,blurred_0049_top_20250704_t1,0.0,57.489,6,0.0,Yes
784,,blurred_0049_top_20250704_t0,blurred_0049_top_20250704_t1,0.0,82.079,6,0.0,Yes
785,,blurred_0049_top_20250704_t0,blurred_0049_top_20250704_t1,0.0,70.342,6,0.0,Yes
786,,blurred_0049_top_20250704_t0,blurred_0049_top_20250704_t1,0.0,101.651,6,0.0,Yes
787,,blurred_s022_top_20250707_t0,blurred_s022_top_20250707_t1,54.818,436.497,6,0.126,Yes
788,,blurred_s022_top_20250707_t0,blurred_s022_top_20250707_t1,144.676,467.779,6,0.309,No
789,,blurred_s023_top_20250707_t0,blurred_s023_top_20250707_t1,59.129,368.828,8,0.16,No
790,,blurred_s023_top_20250707_t0,blurred_s023_top_20250707_t1,98.032,430.258,8,0.228,No
791,,blurred_s023_top_20250707_t0,blurred_s023_top_20250707_t1,134.093,432.926,8,0.31,No
792,,blurred_s023_top_20250707_t0,blurred_s023_top_20250707_t1,23.022,506.333,8,0.045,Yes
794,,bright_0001_top_20250702_t0,bright_0001_top_20250702_t1,0.0,332.465,6,0.0,Yes
795,,bright_0001_top_20250702_t0,bright_0001_top_20250702_t1,0.0,325.776,6,0.0,Yes
796,,bright_0001_top_20250702_t0,bright_0001_top_20250702_t1,0.0,244.951,6,0.0,Yes
797,,bright_0001_top_20250703_t0,bright_0001_top_20250703_t1,110.97,109.041,6,1.018,No
798,,bright_0001_top_20250703_t0,bright_0001_top_20250703_t1,125.877,138.885,6,0.906,No
799,,bright_0001_top_20250703_t0,bright_0001_top_20250703_t1,253.007,136.297,6,1.856,No
800,,bright_0001_top_20250703_t0,bright_0001_top_20250703_t1,403.55,145.798,6,2.768,No
801,,bright_0001_top_20250703_t0,bright_0001_top_20250703_t1,278.641,137.528,6,2.026,No
802,,bright_0001_top_20250703_t0,bright_0001_top_20250703_t1,225.172,141.989,6,1.586,No
803,,bright_0001_top_20250703_t0,bright_0001_top_20250703_t1,236.597,142.046,6,1.666,No
804,,bright_0001_top_20250703_t0,bright_0001_top_20250703_t1,424.477,104.809,6,4.05,No
805,,bright_0001_top_20250703_t0,bright_0001_top_20250703_t1,536.905,99.81,6,5.379,No
806,,bright_0001_top_20250704_t0,bright_0001_top_20250704_t1,125.691,398.648,8,0.315,No
808,,bright_0001_top_20250708_t0,bright_0001_top_20250708_t1,187.228,297.594,7,0.629,No
809,,bright_0001_top_20250708_t0,bright_0001_top_20250708_t1,31.401,293.232,7,0.107,Yes
810,,bright_0001_top_20250708_t0,bright_0001_top_20250708_t1,204.128,291.29,7,0.701,No
811,,bright_0001_top_20250708_t0,bright_0001_top_20250708_t1,82.852,281.887,7,0.294,No
