image_id,transform_method,rmse,inliers,num_lm_common,quality_gate_passed,confidence_level,error
0011_top_20250703_t0,Affine,85.3186,7.0,7.0,False,low,
0011_top_20250703_t1,Homography,1.5331,10.0,12.0,True,medium,
0011_top_20250704_t0,Homography,1.0349,9.0,9.0,True,medium,
0011_top_20250704_t1,Affine,37.0238,7.0,7.0,False,low,
0011_top_20250708_t0,Homography,0.9953,6.0,8.0,True,medium,
0011_top_20250708_t1,Homography,1.7994,10.0,12.0,True,medium,
0011_top_20250711_t0,Homography,1.7027,8.0,11.0,True,medium,
0011_top_20250711_t1,Homography,2.1657,8.0,15.0,True,medium,
0012_top_20250630_t0,Homography,1.3621,6.0,8.0,True,medium,
0012_top_20250630_t1,Homography,1.0077,6.0,10.0,True,medium,
0012_top_20250703_t0,Homography,1.5637,10.0,12.0,True,medium,
0012_top_20250703_t1,Homography,1.8649,8.0,12.0,True,medium,
0012_top_20250704_t0,Homography,1.2687,9.0,10.0,True,medium,
0012_top_20250704_t1,Homography,1.3808,8.0,13.0,True,medium,
0012_top_20250708_t0,Homography,1.5764,6.0,8.0,True,medium,
0012_top_20250708_t1,Homography,1.5589,6.0,14.0,True,medium,
0012_top_20250709_t0,Homography,1.8486,7.0,8.0,True,medium,
0012_top_20250709_t1,Homography,1.6416,8.0,9.0,True,medium,
0012_top_20250711_t0,Affine,100.7978,7.0,7.0,False,low,
0012_top_20250711_t1,Homography,1.2285,8.0,23.0,True,medium,
0013_top_20250630_t0,Homography,1.6594,8.0,8.0,True,medium,
0013_top_20250630_t1,Homography,1.2105,6.0,11.0,True,medium,
0013_top_20250702_t0,Homography,2.014,18.0,21.0,True,medium,
0013_top_20250702_t1,Affine,410.7882,7.0,7.0,False,low,
0013_top_20250703_t0,Homography,1.5667,7.0,8.0,True,medium,
0013_top_20250703_t1,Homography,1.0215,7.0,8.0,True,medium,
0013_top_20250704_t0,Homography,1.5635,8.0,10.0,True,medium,
0013_top_20250704_t1,Homography,1.4525,10.0,10.0,True,medium,
0013_top_20250708_t0,Homography,1.6187,11.0,12.0,True,medium,
0013_top_20250708_t1,Homography,1.4963,8.0,8.0,True,medium,
0013_top_20250711_t0,Homography,1.3764,8.0,10.0,True,medium,
0013_top_20250711_t1,Homography,0.8938,5.0,8.0,True,medium,
0014_top_20250702_t0,Homography,1.593,9.0,13.0,True,medium,
0014_top_20250702_t1,Homography,1.7327,9.0,12.0,True,medium,
0014_top_20250703_t0,Homography,1.8494,6.0,8.0,True,medium,
0014_top_20250703_t1,Similarity,2.9442,9.0,9.0,True,medium,
0014_top_20250704_t0,Homography,0.4559,7.0,8.0,True,medium,
0014_top_20250704_t1,Homography,0.6903,7.0,8.0,True,medium,
0014_top_20250707_t0,Homography,0.783,5.0,10.0,True,medium,
0014_top_20250707_t1,Homography,2.1313,10.0,20.0,True,medium,
0014_top_20250708_t0,Homography,2.2093,13.0,20.0,True,medium,
0014_top_20250708_t1,Homography,1.5662,8.0,8.0,True,medium,
0014_top_20250709_t0,Homography,1.3192,8.0,8.0,True,medium,
0014_top_20250709_t1,Homography,0.7672,7.0,8.0,True,medium,
0015_top_20250624_t0,Homography,1.2893,7.0,8.0,True,medium,
0015_top_20250624_t1,Homography,0.8532,7.0,8.0,True,medium,
0015_top_20250626_t0,Homography,1.6506,7.0,12.0,True,medium,
0015_top_20250626_t1,Homography,0.8073,6.0,11.0,True,medium,
0015_top_20250704_t0,Homography,1.0173,9.0,10.0,True,medium,
0015_top_20250704_t1,Homography,1.4917,8.0,10.0,True,medium,
0015_top_20250707_t0,Homography,1.8474,11.0,20.0,True,medium,
0015_top_20250707_t1,Homography,1.4858,6.0,11.0,True,medium,
0015_top_20250709_t0,Homography,1.9384,8.0,16.0,True,medium,
0015_top_20250709_t1,Homography,1.6012,9.0,13.0,True,medium,
0015_top_20250711_t0,Homography,0.925,8.0,8.0,True,medium,
0015_top_20250711_t1,Homography,1.3806,7.0,8.0,True,medium,
0016_top_20250626_t0,Homography,1.3531,8.0,10.0,True,medium,
0016_top_20250626_t1,Homography,1.3826,7.0,10.0,True,medium,
0016_top_20250630_t0,Homography,1.0506,7.0,11.0,True,medium,
0016_top_20250630_t1,Homography,1.3696,6.0,15.0,True,medium,
0016_top_20250704_t0,Homography,1.3723,12.0,13.0,True,medium,
0016_top_20250704_t1,Homography,0.6888,6.0,9.0,True,medium,
0017_top_20250623_t0,Homography,1.2286,7.0,9.0,True,medium,
0017_top_20250623_t1,Homography,0.9601,6.0,10.0,True,medium,
0017_top_20250624_t0,Homography,0.9475,6.0,10.0,True,medium,
0017_top_20250624_t1,Homography,1.4291,8.0,10.0,True,medium,
0017_top_20250703_t0,Affine,17.358,7.0,7.0,False,low,
0017_top_20250703_t1,Homography,0.0,4.0,8.0,True,medium,
0017_top_20250708_t0,Homography,0.0,4.0,9.0,True,medium,
0017_top_20250708_t1,Homography,2.0656,9.0,20.0,True,medium,
0018_top_20250703_t0,Homography,1.6116,8.0,10.0,True,medium,
0018_top_20250703_t1,Homography,1.5139,8.0,11.0,True,medium,
0018_top_20250704_t0,Homography,0.0,4.0,9.0,True,medium,
0018_top_20250704_t1,Homography,0.9958,5.0,9.0,True,medium,
0018_top_20250711_t0,Homography,0.8734,7.0,8.0,True,medium,
0018_top_20250711_t1,Homography,1.2915,7.0,9.0,True,medium,
0019_top_20250702_t0,Homography,1.0801,7.0,8.0,True,medium,
0019_top_20250702_t1,Homography,1.4758,6.0,10.0,True,medium,
0019_top_20250707_t0,Homography,1.9411,17.0,27.0,True,medium,
0019_top_20250707_t1,Homography,0.6683,5.0,8.0,True,medium,
0019_top_20250708_t0,Homography,0.0,4.0,9.0,True,medium,
0019_top_20250708_t1,Affine,47.9955,7.0,7.0,False,low,
0019_top_20250711_t0,Homography,1.8811,12.0,21.0,True,medium,
0019_top_20250711_t1,Homography,0.6851,7.0,8.0,True,medium,
0020_top_20250703_t0,Homography,2.4042,10.0,16.0,True,medium,
0020_top_20250703_t1,Homography,1.369,9.0,14.0,True,medium,
0020_top_20250707_t0,Homography,1.4471,8.0,13.0,True,medium,
0020_top_20250707_t1,Homography,1.2784,8.0,14.0,True,medium,
0020_top_20250711_t0,Homography,1.7197,8.0,9.0,True,medium,
0020_top_20250711_t1,Homography,1.6295,9.0,17.0,True,medium,
0021_top_20250626_t0,Homography,0.6771,6.0,8.0,True,medium,
0021_top_20250626_t1,Homography,1.6804,7.0,9.0,True,medium,
0022_top_20250626_t0,Homography,1.822,9.0,12.0,True,medium,
0022_top_20250626_t1,Homography,1.3194,8.0,13.0,True,medium,
0022_top_20250630_t0,Homography,1.3803,6.0,8.0,True,medium,
0022_top_20250630_t1,Homography,1.835,6.0,8.0,True,medium,
0022_top_20250711_t0,Similarity,7.6153,9.0,9.0,True,medium,
0022_top_20250711_t1,Homography,1.25,6.0,9.0,True,medium,
0023_top_20250626_t0,Homography,0.9713,6.0,9.0,True,medium,
0023_top_20250626_t1,Homography,0.0,4.0,8.0,True,medium,
0023_top_20250708_t0,Homography,1.0515,7.0,8.0,True,medium,
0023_top_20250708_t1,Homography,1.1776,11.0,17.0,True,medium,
0023_top_20250711_t0,Homography,0.9468,5.0,8.0,True,medium,
0023_top_20250711_t1,Homography,0.8959,6.0,8.0,True,medium,
0024_top_20250711_t0,Similarity,4.5254,8.0,8.0,True,medium,
0024_top_20250711_t1,Similarity,3.3594,8.0,8.0,True,medium,
0025_top_20250626_t0,Homography,0.0,4.0,10.0,True,medium,
0025_top_20250626_t1,Homography,1.2136,6.0,12.0,True,medium,
0025_top_20250630_t0,Homography,0.9736,6.0,8.0,True,medium,
0025_top_20250630_t1,Homography,0.814,6.0,8.0,True,medium,
0026_top_20250623_t0,Homography,1.2086,6.0,9.0,True,medium,
0026_top_20250623_t1,Homography,1.0948,6.0,8.0,True,medium,
0026_top_20250626_t0,Affine,267.2936,7.0,7.0,False,low,
0026_top_20250626_t1,Affine,156.3824,7.0,7.0,False,low,
0027_top_20250623_t0,Homography,0.0,4.0,8.0,True,medium,
0027_top_20250623_t1,Homography,1.1336,5.0,14.0,True,medium,
0027_top_20250626_t0,Homography,1.0403,6.0,14.0,True,medium,
0027_top_20250626_t1,Homography,1.4554,6.0,8.0,True,medium,
0027_top_20250708_t0,Affine,28.0269,7.0,7.0,False,low,
0027_top_20250708_t1,Affine,25.5002,7.0,7.0,False,low,
0027_top_20250709_t0,Homography,0.7646,6.0,8.0,True,medium,
0027_top_20250709_t1,Homography,1.8241,6.0,14.0,True,medium,
0028_top_20250630_t0,Homography,1.5064,7.0,8.0,True,medium,
0028_top_20250630_t1,Affine,23.0064,7.0,7.0,False,low,
0028_top_20250704_t0,Homography,2.1996,14.0,17.0,True,medium,
0028_top_20250704_t1,Homography,0.9576,6.0,8.0,True,medium,
0028_top_20250707_t0,Homography,1.3666,7.0,8.0,True,medium,
0028_top_20250707_t1,Homography,1.2657,7.0,8.0,True,medium,
0028_top_20250709_t0,Homography,1.5145,13.0,15.0,True,medium,
0028_top_20250709_t1,Homography,1.5171,11.0,14.0,True,medium,
0029_top_20250704_t0,Homography,1.2962,9.0,12.0,True,medium,
0029_top_20250704_t1,Homography,1.3315,9.0,12.0,True,medium,
0029_top_20250707_t0,Homography,2.1194,11.0,12.0,True,medium,
0029_top_20250707_t1,Homography,1.8076,7.0,8.0,True,medium,
0034_top_20250704_t0,Homography,0.6695,7.0,9.0,True,medium,
0034_top_20250704_t1,Homography,2.0268,9.0,11.0,True,medium,
0037_top_20250703_t0,Homography,2.5748,16.0,27.0,True,medium,
0037_top_20250703_t1,Similarity,2.526,8.0,8.0,True,medium,
0038_top_20250703_t0,Homography,2.2691,12.0,16.0,True,medium,
0038_top_20250703_t1,Homography,1.1937,6.0,8.0,True,medium,
0038_top_20250704_t0,Homography,1.9866,9.0,11.0,True,medium,
0038_top_20250704_t1,Homography,1.8585,10.0,16.0,True,medium,
0039_top_20250704_t0,Homography,1.7517,6.0,8.0,True,medium,
0039_top_20250704_t1,Homography,1.1662,8.0,10.0,True,medium,
0040_top_20250623_t0,Homography,1.1217,9.0,10.0,True,medium,
0040_top_20250623_t1,Affine,62.5757,7.0,7.0,False,low,
0040_top_20250704_t0,Homography,1.4299,7.0,8.0,True,medium,
