vehicle_id,zone_id,t1_img,xc,yc,t1_w,t1_h
382,b,0008_top_20250626_t1,612.0,120.0,54,240
383,b,0008_top_20250707_t1,88.5,175.0,67,48
384,b,0008_top_20250707_t1,87.5,231.0,69,48
385,b,0008_top_20250707_t1,519.5,461.0,33,116
386,b,0008_top_20250707_t1,291.5,138.5,25,107
387,b,0008_top_20250707_t1,223.0,55.5,26,109
388,b,0008_top_20250707_t1,208.0,489.5,28,91
389,b,0008_top_20250707_t1,275.5,481.0,27,100
390,b,0008_top_20250707_t1,242.0,487.0,28,104
391,b,0008_top_20250707_t1,326.5,480.5,27,97
392,b,0008_top_20250707_t1,488.5,466.5,29,111
393,b,0008_top_20250707_t1,361.0,165.0,26,102
394,b,0008_top_20250707_t1,458.5,469.5,29,101
395,b,0008_top_20250707_t1,325.5,146.5,25,103
396,b,0008_top_20250707_t1,255.5,120.0,25,102
397,b,0008_top_20250707_t1,360.0,470.0,30,104
398,b,0008_top_20250707_t1,495.0,197.5,30,97
399,b,0008_top_20250707_t1,586.5,457.5,31,109
400,b,0008_top_20250707_t1,396.0,176.5,26,95
401,b,0008_top_20250707_t1,557.0,462.5,30,99
402,b,0008_top_20250707_t1,424.0,468.5,28,95
403,b,0008_top_20250707_t1,428.0,194.0,26,94
404,b,0008_top_20250707_t1,616.5,458.5,29,103
405,b,0008_top_20250707_t1,530.5,199.5,31,101
406,b,0008_top_20250707_t1,625.0,192.5,28,111
407,b,0008_top_20250707_t1,463.0,196.0,28,92
408,b,0008_top_20250707_t1,394.5,468.0,25,98
409,b,0008_top_20250707_t1,595.0,194.0,30,110
410,b,0008_top_20250707_t1,561.5,197.5,33,109
412,d,0008_top_20250709_t1,161.5,555.5,75,51
413,d,0008_top_20250709_t1,228.0,548.0,38,144
414,d,0008_top_20250709_t1,272.0,534.0,40,144
415,d,0008_top_20250709_t1,314.5,527.0,39,150
416,d,0008_top_20250709_t1,516.5,489.0,39,150
417,d,0008_top_20250709_t1,471.5,492.5,39,147
418,d,0008_top_20250709_t1,565.0,474.0,42,140
419,d,0008_top_20250709_t1,433.5,507.5,41,149
420,d,0008_top_20250709_t1,355.0,516.0,42,154
421,d,0008_top_20250709_t1,395.0,515.5,40,143
422,d,0008_top_20250709_t1,96.5,29.0,131,48
423,d,0008_top_20250709_t1,203.5,35.0,71,54
424,d,0008_top_20250709_t1,159.5,629.0,77,20
443,d,0009_top_20250703_t1,427.0,99.0,68,66
444,d,0009_top_20250703_t1,428.5,199.5,61,67
445,d,0009_top_20250704_t1,95.0,335.0,36,126
446,d,0009_top_20250704_t1,154.5,333.5,33,109
448,c,0009_top_20250705_t1,406.5,291.0,43,32
532,b,0009_top_20250707_t1,109.0,463.0,80,64
533,b,0009_top_20250707_t1,163.5,538.0,77,72
546,d,0010_top_20250623_t1,307.0,92.5,72,185
562,d,0010_top_20250704_t1,504.5,372.5,33,91
563,d,0010_top_20250704_t1,566.5,370.0,35,114
603,b,0010_top_20250708_t1,162.0,184.0,50,160
604,b,0010_top_20250708_t1,273.0,184.0,48,166
605,b,0010_top_20250708_t1,217.5,192.5,49,163
621,b,0011_top_20250630_t1,406.0,266.5,64,53
627,d,0011_top_20250703_t1,332.0,465.0,64,56
628,d,0011_top_20250703_t1,338.0,29.0,60,34
629,d,0011_top_20250703_t1,340.5,114.0,69,58
631,d,0011_top_20250704_t1,412.0,92.0,50,52
634,d,0011_top_20250708_t1,76.5,398.0,43,108
638,c,0011_top_20250711_t1,403.0,217.0,46,140
639,c,0011_top_20250711_t1,508.5,268.5,45,127
640,c,0011_top_20250711_t1,117.5,374.5,55,191
641,c,0011_top_20250711_t1,352.5,207.0,45,130
642,c,0011_top_20250711_t1,26.0,431.0,50,166
643,c,0011_top_20250711_t1,67.5,359.0,49,130
644,b,0012_top_20250630_t1,235.5,259.0,71,42
645,b,0012_top_20250630_t1,239.5,119.5,69,53
646,b,0012_top_20250630_t1,242.5,187.0,71,50
659,c,0012_b_top_20250702_t1,39.0,534.0,34,128
675,d,0012_top_20250703_t1,325.5,433.5,55,51
676,d,0012_top_20250703_t1,207.5,292.5,31,89
677,d,0012_top_20250703_t1,443.0,367.0,64,58
678,d,0012_top_20250703_t1,325.5,535.0,65,54
679,d,0012_top_20250703_t1,437.5,262.0,65,54
681,d,0012_top_20250704_t1,270.5,39.5,81,71
695,c,0013_a_top_20250702_t1,390.5,425.5,29,125
696,c,0013_a_top_20250702_t1,287.0,423.5,34,123
697,c,0013_a_top_20250702_t1,387.5,566.0,27,122
698,c,0013_a_top_20250702_t1,352.5,561.0,29,126
699,c,0013_a_top_20250702_t1,354.0,417.0,30,106
707,d,0013_top_20250704_t1,543.5,241.0,73,50
708,d,0013_top_20250704_t1,551.0,388.5,76,65
