vehicle_id,t0_image,t1_image,t0_x1,t0_y1,t0_x2,t0_y2,t1_x1,t1_y1,t1_x2,t1_y2,t0_orig_x1,t0_orig_y1,t0_orig_x2,t0_orig_y2,t1_orig_x1,t1_orig_y1,t1_orig_x2,t1_orig_y2,iou,reid_similarity,final_score,note,is_matched
28,0001_top_20250705_t0.png_detect.csv,0001_top_20250705_t1.JPG_detect.csv,749,634,821,706,748,631,826,712,241,327,271,377,260,350,279,389,0.8205128205128205,0.7757177352905273,0.8205128205128205,hungarian,1
29,0001_top_20250705_t0.png_detect.csv,0001_top_20250705_t1.JPG_detect.csv,939,1110,1004,1202,919,1103,1011,1207,124,16,148,65,172,110,194,158,0.625,0.7330288887023926,0.625,hungarian,1
30,0001_top_20250705_t0.png_detect.csv,0001_top_20250705_t1.JPG_detect.csv,358,438,445,509,364,415,453,520,453,419,488,473,389,413,410,466,0.5885784464230888,0.8397900462150574,0.5885784464230888,hungarian,1
31,0001_top_20250705_t0.png_detect.csv,0001_top_20250705_t1.JPG_detect.csv,494,694,559,769,493,665,571,761,359,232,381,284,334,296,352,344,0.5438311688311688,0.6835001707077026,0.5438311688311688,hungarian,1
32,0001_top_20250705_t0.png_detect.csv,0001_top_20250705_t1.JPG_detect.csv,620,658,695,730,619,659,692,734,299,285,329,334,298,324,316,360,0.8870380010411244,0.5238925218582153,0.8870380010411244,hungarian,1
33,0001_top_20250705_t0.png_detect.csv,0001_top_20250705_t1.JPG_detect.csv,1079,568,1143,638,1085,554,1162,647,83,445,114,497,165,420,183,466,0.5355493998153278,0.49234721064567566,0.5355493998153278,hungarian,1
34,0001_top_20250705_t0.png_detect.csv,0001_top_20250705_t1.JPG_detect.csv,576,662,648,733,585,658,653,739,321,275,349,323,310,317,326,357,0.7276720351390923,0.6930795907974243,0.7276720351390923,hungarian,1
35,0001_top_20250705_t0.png_detect.csv,0001_top_20250705_t1.JPG_detect.csv,393,599,472,679,394,606,480,696,413,284,441,342,366,321,387,365,0.6806120009562515,0.8061539530754089,0.6806120009562515,hungarian,1
36,0001_top_20250705_t0.png_detect.csv,0001_top_20250705_t1.JPG_detect.csv,405,429,492,499,409,414,495,511,431,437,467,490,376,423,397,471,0.6738575736488054,0.574439525604248,0.6738575736488054,hungarian,1
37,0001_top_20250705_t0.png_detect.csv,0001_top_20250705_t1.JPG_detect.csv,575,400,647,469,580,382,658,478,357,496,387,553,329,458,347,507,0.590195327460743,0.7715921998023987,0.590195327460743,hungarian,1
38,0001_top_20250705_t0.png_detect.csv,0001_top_20250705_t1.JPG_detect.csv,179,254,268,331,177,250,265,328,582,543,615,614,460,499,483,537,0.8654970760233918,0.7311394810676575,0.8654970760233918,hungarian,1
39,0001_top_20250705_t0.png_detect.csv,0001_top_20250705_t1.JPG_detect.csv,1070,747,1139,829,1065,736,1151,853,78,288,109,342,156,309,175,367,0.5623136553369111,0.6882257461547852,0.5623136553369111,hungarian,1
40,0001_top_20250705_t0.png_detect.csv,0001_top_20250705_t1.JPG_detect.csv,556,332,636,398,559,321,637,409,373,561,409,616,340,494,359,538,0.719626168224299,0.5144510865211487,0.719626168224299,hungarian,1
41,0001_top_20250705_t0.png_detect.csv,0001_top_20250705_t1.JPG_detect.csv,824,608,895,684,825,598,910,700,207,358,237,413,237,365,257,415,0.6082780699748457,0.6804930567741394,0.6082780699748457,hungarian,1
