image_name,template_key,xc,yc,t1_w,t1_h,classification,detail
0008_top_20250707_t1,DJI_0585,394.5,468.0,25,98,ILLEGAL,ILLEGAL;OTHER
0008_top_20250707_t1,DJI_0585,595.0,194.0,30,110,ILLEGAL,ILLEGAL;OTHER
0008_top_20250707_t1,DJI_0585,561.5,197.5,33,109,ILLEGAL,ILLEGAL;OTHER
0009_top_20250707_t1,DJI_0585,109.0,463.0,80,64,ILLEGAL,ILLEGAL;OTHER
0009_top_20250707_t1,DJI_0585,163.5,538.0,77,72,ILLEGAL,ILLEGAL;OTHER
0010_top_20250708_t1,DJI_0585,162.0,184.0,50,160,ILLEGAL,ILLEGAL;OTHER
0010_top_20250708_t1,DJI_0585,273.0,184.0,48,166,ILLEGAL,ILLEGAL;OTHER
0010_top_20250708_t1,DJI_0585,217.5,192.5,49,163,ILLEGAL,ILLEGAL;OTHER
0012_top_20250630_t1,DJI_0585,235.5,259.0,71,42,ILLEGAL,ILLEGAL;OTHER
0012_top_20250630_t1,DJI_0585,239.5,119.5,69,53,ILLEGAL,ILLEGAL;OTHER
0012_top_20250630_t1,DJI_0585,242.5,187.0,71,50,ILLEGAL,ILLEGAL;OTHER
0013_a_top_20250702_t1,DJI_0585,390.5,425.5,29,125,ILLEGAL,ILLEGAL;OTHER
0013_a_top_20250702_t1,DJI_0585,287.0,423.5,34,123,ILLEGAL,ILLEGAL;OTHER
0013_a_top_20250702_t1,DJI_0585,387.5,566.0,27,122,ILLEGAL,ILLEGAL;OTHER
0013_a_top_20250702_t1,DJI_0585,352.5,561.0,29,126,ILLEGAL,ILLEGAL;OTHER
0013_a_top_20250702_t1,DJI_0585,354.0,417.0,30,106,ILLEGAL,ILLEGAL;OTHER
0015_top_20250626_t1,DJI_0585,230.0,540.0,78,56,ILLEGAL,ILLEGAL;OTHER
0015_top_20250626_t1,DJI_0585,249.5,613.0,75,52,ILLEGAL,ILLEGAL;OTHER
0015_top_20250626_t1,DJI_0585,300.0,322.5,36,141,ILLEGAL,ILLEGAL;OTHER
0015_top_20250626_t1,DJI_0585,220.5,468.0,87,60,ILLEGAL,ILLEGAL;OTHER
0015_top_20250626_t1,DJI_0585,228.5,386.0,85,56,ILLEGAL,ILLEGAL;OTHER
0015_top_20250626_t1,DJI_0585,304.0,481.0,38,128,ILLEGAL,ILLEGAL;OTHER
0015_top_20250626_t1,DJI_0585,210.5,61.0,69,62,ILLEGAL,ILLEGAL;OTHER
0015_top_20250626_t1,DJI_0585,207.5,7.5,95,15,ILLEGAL,ILLEGAL;OTHER
0021_top_20250619_t1,DJI_0585,312.0,290.0,166,342,ILLEGAL,ILLEGAL;OTHER
0023_top_20250711_t1,DJI_0585,256.5,83.5,101,51,ILLEGAL,ILLEGAL;OTHER
0023_top_20250711_t1,DJI_0585,525.5,34.0,159,68,ILLEGAL,ILLEGAL;OTHER
0025_top_20250707_t1,DJI_0585,470.5,64.5,95,67,ILLEGAL,ILLEGAL;OTHER
0025_top_20250707_t1,DJI_0585,459.5,8.5,75,17,ILLEGAL,ILLEGAL;OTHER
0028_top_20250707_t1,DJI_0585,531.0,220.5,80,59,ILLEGAL,ILLEGAL;OTHER
0028_top_20250707_t1,DJI_0585,274.0,462.0,84,80,ILLEGAL,ILLEGAL;OTHER
0028_top_20250707_t1,DJI_0585,383.5,479.0,99,82,ILLEGAL,ILLEGAL;OTHER
0028_top_20250707_t1,DJI_0585,532.0,146.5,82,57,ILLEGAL,ILLEGAL;OTHER
0029_top_20250619_t1,DJI_0585,366.5,319.0,139,326,ILLEGAL,ILLEGAL;OTHER
0029_top_20250707_t1,DJI_0585,508.5,451.5,47,197,ILLEGAL,ILLEGAL;OTHER
0029_top_20250707_t1,DJI_0585,297.5,149.5,49,169,ILLEGAL,ILLEGAL;OTHER
0029_top_20250707_t1,DJI_0585,497.0,218.0,50,204,ILLEGAL,ILLEGAL;OTHER
0029_top_20250707_t1,DJI_0585,229.0,153.5,48,173,ILLEGAL,ILLEGAL;OTHER
0029_top_20250707_t1,DJI_0585,508.0,621.5,50,35,ILLEGAL,ILLEGAL;OTHER
0029_top_20250707_t1,DJI_0585,263.0,620.5,74,37,ILLEGAL,ILLEGAL;OTHER
0033_top_20250707_t1,DJI_0585,594.5,272.0,89,138,ILLEGAL,ILLEGAL;OTHER
0033_top_20250707_t1,DJI_0585,255.5,210.0,75,330,ILLEGAL,ILLEGAL;OTHER
0033_top_20250707_t1,DJI_0585,596.0,462.5,86,141,ILLEGAL,ILLEGAL;OTHER
0045_top_20250626_t1,DJI_0585,533.5,609.0,191,62,ILLEGAL,ILLEGAL;OTHER
0045_top_20250626_t1,DJI_0585,321.0,372.0,76,302,ILLEGAL,ILLEGAL;OTHER
0045_top_20250626_t1,DJI_0585,26.0,383.0,52,300,ILLEGAL,ILLEGAL;OTHER
0017_top_20250708_t1,DJI_0587,348.0,152.0,40,128,ILLEGAL,ILLEGAL;OTHER
0019_top_20250707_t1,DJI_0587,311.5,256.5,41,133,ILLEGAL,ILLEGAL;OTHER
0019_top_20250707_t1,DJI_0587,267.0,246.5,40,133,ILLEGAL,ILLEGAL;OTHER
0019_top_20250707_t1,DJI_0587,223.0,237.5,30,99,ILLEGAL,ILLEGAL;OTHER
0022_top_20250702_t1,DJI_0587,356.0,178.0,114,90,ILLEGAL,ILLEGAL;OTHER
0022_top_20250702_t1,DJI_0587,466.0,398.5,116,79,ILLEGAL,ILLEGAL;OTHER
