image_name,template_key,xc,yc,t1_w,t1_h,classification,detail
0027_top_20250623_t1,DJI_0570,291.5,248.5,69,69,ILLEGAL,ILLEGAL;OTHER
0027_top_20250623_t1,DJI_0570,66.5,186.0,69,58,ILLEGAL,ILLEGAL;OTHER
0027_top_20250623_t1,DJI_0570,537.0,290.0,70,62,ILLEGAL,ILLEGAL;OTHER
0027_top_20250709_t1,DJI_0570,187.0,349.0,56,64,ILLEGAL,ILLEGAL;OTHER
0028_top_20250709_t1,DJI_0570,381.0,259.0,18,60,ILLEGAL,ILLEGAL;OTHER
0029_top_20250704_t1,DJI_0570,114.5,165.0,49,90,ILLEGAL,ILLEGAL;OTHER
0029_top_20250704_t1,DJI_0570,299.5,416.0,29,50,ILLEGAL,ILLEGAL;OTHER
0029_top_20250704_t1,DJI_0570,390.5,240.0,33,46,ILLEGAL,ILLEGAL;OTHER
0029_top_20250704_t1,DJI_0570,127.5,213.0,31,82,ILLEGAL,ILLEGAL;OTHER
0029_top_20250704_t1,DJI_0570,333.5,348.0,29,46,ILLEGAL,ILLEGAL;OTHER
0029_top_20250704_t1,DJI_0570,141.5,241.5,55,83,LEGAL,LEGAL;OTHER
0029_top_20250704_t1,DJI_0570,341.5,321.5,29,39,ILLEGAL,ILLEGAL;OTHER
0029_top_20250704_t1,DJI_0570,376.0,256.0,28,44,ILLEGAL,ILLEGAL;OTHER
0030_top_20250623_t1,DJI_0570,270.5,498.5,63,251,ILLEGAL,ILLEGAL;OTHER
0041_top_20250704_t1,DJI_0570,338.5,607.0,23,50,ILLEGAL,ILLEGAL;OTHER;TREE
0019_top_20250711_t1,DJI_0574,297.5,141.0,39,106,ILLEGAL,ILLEGAL;OTHER
0019_top_20250711_t1,DJI_0574,46.5,107.0,35,108,ILLEGAL,ILLEGAL;OTHER
0011_top_20250711_t1,DJI_0576,403.0,217.0,46,140,LEGAL,LEGAL;OTHER
0011_top_20250711_t1,DJI_0576,508.5,268.5,45,127,ILLEGAL,ILLEGAL;OTHER
0011_top_20250711_t1,DJI_0576,117.5,374.5,55,191,ILLEGAL,ILLEGAL;OTHER
0011_top_20250711_t1,DJI_0576,352.5,207.0,45,130,ILLEGAL,ILLEGAL;OTHER
0011_top_20250711_t1,DJI_0576,26.0,431.0,50,166,ILLEGAL,ILLEGAL;OTHER
0011_top_20250711_t1,DJI_0576,67.5,359.0,49,130,ILLEGAL,ILLEGAL;OTHER
0014_top_20250704_t1,DJI_0576,393.5,211.0,73,56,ILLEGAL,ILLEGAL;OTHER
0014_top_20250704_t1,DJI_0576,239.5,67.5,41,123,ILLEGAL,ILLEGAL;OTHER
0021_top_20250626_t1,DJI_0576,221.5,386.0,43,166,ILLEGAL,ILLEGAL;OTHER
0017_top_20250711_t1,DJI_0579,289.5,212.5,65,215,ILLEGAL,ILLEGAL;OTHER
0018_top_20250702_t1,DJI_0580,442.5,284.0,149,390,ILLEGAL,ILLEGAL;OTHER
0001_top_20250702_t1,DJI_0581,244.0,390.5,184,125,ILLEGAL,ILLEGAL;OTHER
0001_top_20250702_t1,DJI_0581,245.0,199.0,172,124,ILLEGAL,ILLEGAL;OTHER
0001_top_20250711_t1,DJI_0581,285.0,228.0,54,112,ILLEGAL,ILLEGAL;OTHER
0001_top_20250711_t1,DJI_0581,238.0,240.0,48,106,ILLEGAL,ILLEGAL;OTHER
0001_top_20250711_t1,DJI_0581,203.0,261.5,58,105,ILLEGAL,ILLEGAL;OTHER
0001_top_20250711_t1,DJI_0581,199.0,253.5,48,95,ILLEGAL,ILLEGAL;OTHER
0002_top_20250705_t1,DJI_0581,415.5,303.5,33,53,ILLEGAL,ILLEGAL;OTHER
0002_top_20250705_t1,DJI_0581,557.0,536.0,36,60,ILLEGAL,ILLEGAL;OTHER
0002_top_20250705_t1,DJI_0581,500.0,514.0,40,60,ILLEGAL,ILLEGAL;OTHER
0002_top_20250705_t1,DJI_0581,539.0,476.5,34,57,ILLEGAL,ILLEGAL;OTHER
0002_top_20250705_t1,DJI_0581,383.5,336.5,35,57,ILLEGAL,ILLEGAL;OTHER
