vehicle_id,t0_image_csv,t1_image_csv,note,iou,reid_similarity,final_score,saved_filename
738,0040_top_20250623_t0.jpg_detect.csv,0040_top_20250623_t1.jpg_detect.csv,hungarian,0.7630418809698751,0.8288955688476562,0.7630418809698751,ID_738_HUNGARIAN_S0.76_I0.76_R0.83.jpg
739,0040_top_20250623_t0.jpg_detect.csv,0040_top_20250623_t1.jpg_detect.csv,hungarian,0.3173208893768872,0.8029372692108154,0.3173208893768872,ID_739_HUNGARIAN_S0.32_I0.32_R0.80.jpg
740,0040_top_20250623_t0.jpg_detect.csv,0040_top_20250623_t1.jpg_detect.csv,hungarian,0.7259786476868327,0.7538684606552124,0.7259786476868327,ID_740_HUNGARIAN_S0.73_I0.73_R0.75.jpg
741,0040_top_20250623_t0.jpg_detect.csv,0040_top_20250623_t1.jpg_detect.csv,hungarian,0.638095238095238,0.7248845100402832,0.638095238095238,ID_741_HUNGARIAN_S0.64_I0.64_R0.72.jpg
742,0040_top_20250623_t0.jpg_detect.csv,0040_top_20250623_t1.jpg_detect.csv,hungarian,0.6680734856007945,0.7026490569114685,0.6680734856007945,ID_742_HUNGARIAN_S0.67_I0.67_R0.70.jpg
743,0040_top_20250623_t0.jpg_detect.csv,0040_top_20250623_t1.jpg_detect.csv,hungarian,0.6863218946350894,0.7290334701538086,0.6863218946350894,ID_743_HUNGARIAN_S0.69_I0.69_R0.73.jpg
744,0040_top_20250623_t0.jpg_detect.csv,0040_top_20250623_t1.jpg_detect.csv,hungarian,0.6520681265206812,0.6439009308815002,0.6520681265206812,ID_744_HUNGARIAN_S0.65_I0.65_R0.64.jpg
745,0040_top_20250623_t0.jpg_detect.csv,0040_top_20250623_t1.jpg_detect.csv,hungarian,0.6378278877128394,0.7888982892036438,0.6378278877128394,ID_745_HUNGARIAN_S0.64_I0.64_R0.79.jpg
746,0040_top_20250623_t0.jpg_detect.csv,0040_top_20250623_t1.jpg_detect.csv,hungarian,0.6474564212024191,0.5382461547851562,0.6474564212024191,ID_746_HUNGARIAN_S0.65_I0.65_R0.54.jpg
752,0041_top_20250704_t0.JPG_detect.csv,0041_top_20250704_t1.JPG_detect.csv,hungarian,0.545222496383902,0.8547011017799377,0.545222496383902,ID_752_HUNGARIAN_S0.55_I0.55_R0.85.jpg
756,0043_top_20250623_t0.jpg_detect.csv,0043_top_20250623_t1.jpg_detect.csv,hungarian,0.5965185762535724,0.8142431378364563,0.5965185762535724,ID_756_HUNGARIAN_S0.60_I0.60_R0.81.jpg
757,0043_top_20250623_t0.jpg_detect.csv,0043_top_20250623_t1.jpg_detect.csv,hungarian,0.4676539360872954,0.6728274822235107,0.4676539360872954,ID_757_HUNGARIAN_S0.47_I0.47_R0.67.jpg
758,0043_top_20250623_t0.jpg_detect.csv,0043_top_20250623_t1.jpg_detect.csv,hungarian,0.5596446700507615,0.558160126209259,0.5596446700507615,ID_758_HUNGARIAN_S0.56_I0.56_R0.56.jpg
759,0043_top_20250623_t0.jpg_detect.csv,0043_top_20250623_t1.jpg_detect.csv,hungarian,0.5441624365482234,0.7455302476882935,0.5441624365482234,ID_759_HUNGARIAN_S0.54_I0.54_R0.75.jpg
760,0043_top_20250623_t0.jpg_detect.csv,0043_top_20250623_t1.jpg_detect.csv,hungarian,0.5438335809806835,0.7788702249526978,0.5438335809806835,ID_760_HUNGARIAN_S0.54_I0.54_R0.78.jpg
761,0043_top_20250623_t0.jpg_detect.csv,0043_top_20250623_t1.jpg_detect.csv,hungarian,0.3761755485893417,0.8228808045387268,0.3761755485893417,ID_761_HUNGARIAN_S0.38_I0.38_R0.82.jpg
762,0043_top_20250623_t0.jpg_detect.csv,0043_top_20250623_t1.jpg_detect.csv,hungarian,0.5078472016582766,0.7742047905921936,0.5078472016582766,ID_762_HUNGARIAN_S0.51_I0.51_R0.77.jpg
773,0044_top_20250623_t0.jpg_detect.csv,0044_top_20250623_t1.jpg_detect.csv,hungarian,0.37531822039035034,0.8303709626197815,0.37531822039035034,ID_773_HUNGARIAN_S0.38_I0.38_R0.83.jpg
774,0044_top_20250623_t0.jpg_detect.csv,0044_top_20250623_t1.jpg_detect.csv,hungarian,0.9506707946336429,0.8492839932441711,0.9506707946336429,ID_774_HUNGARIAN_S0.95_I0.95_R0.85.jpg
775,0044_top_20250623_t0.jpg_detect.csv,0044_top_20250623_t1.jpg_detect.csv,hungarian,0.5009392611145899,0.8690341711044312,0.5009392611145899,ID_775_HUNGARIAN_S0.50_I0.50_R0.87.jpg
776,0044_top_20250623_t0.jpg_detect.csv,0044_top_20250623_t1.jpg_detect.csv,hungarian,0.3008888241293895,0.8929213881492615,0.3008888241293895,ID_776_HUNGARIAN_S0.30_I0.30_R0.89.jpg
777,0044_top_20250623_t0.jpg_detect.csv,0044_top_20250623_t1.jpg_detect.csv,hungarian,0.5033870239349691,0.906982421875,0.5033870239349691,ID_777_HUNGARIAN_S0.50_I0.50_R0.91.jpg
782,0045_top_20250626_t0.jpg_detect.csv,0045_top_20250626_t1.jpg_detect.csv,hungarian,0.5688680251787048,0.755857527256012,0.5688680251787048,ID_782_HUNGARIAN_S0.57_I0.57_R0.76.jpg
783,0045_top_20250626_t0.jpg_detect.csv,0045_top_20250626_t1.jpg_detect.csv,hungarian,0.33009055310817426,0.8333576321601868,0.33009055310817426,ID_783_HUNGARIAN_S0.33_I0.33_R0.83.jpg
784,0045_top_20250626_t0.jpg_detect.csv,0045_top_20250626_t1.jpg_detect.csv,hungarian,0.4394366197183099,0.5413879752159119,0.4394366197183099,ID_784_HUNGARIAN_S0.44_I0.44_R0.54.jpg
788,0047_top_20250623_t0.jpg_detect.csv,0047_top_20250623_t1.jpg_detect.csv,hungarian,0.9024390243902439,0.661605954170227,0.9024390243902439,ID_788_HUNGARIAN_S0.90_I0.90_R0.66.jpg
789,0047_top_20250623_t0.jpg_detect.csv,0047_top_20250623_t1.jpg_detect.csv,hungarian,0.5628085573230938,0.7005133032798767,0.5628085573230938,ID_789_HUNGARIAN_S0.56_I0.56_R0.70.jpg
790,0047_top_20250623_t0.jpg_detect.csv,0047_top_20250623_t1.jpg_detect.csv,hungarian,0.49198931909212285,0.6114660501480103,0.49198931909212285,ID_790_HUNGARIAN_S0.49_I0.49_R0.61.jpg
791,0047_top_20250623_t0.jpg_detect.csv,0047_top_20250623_t1.jpg_detect.csv,hungarian,0.488287693830419,0.8361906409263611,0.488287693830419,ID_791_HUNGARIAN_S0.49_I0.49_R0.84.jpg
